activite_id;exercices_id;date_publication_activite;identifiant_fiche;objet_activite
138;103;2019-03-31;KW3UURA3;LFSS 2018 : Supprimer les mesures visant à augmenter le forfait hosp., supprimer le tiers payant généralisé, à abolir la délégation aux mutuelles de la gestion du RSI, et à acter la reprise du CITS
139;103;2019-03-31;Z0V59ZA3;LFSS 2018 : Soutenir la prise en charge à 100 % par l’Ass. maladie des frais liés à une consultation unique de prévention du cancer du sein et du cancer du col de l’utérus pour les femmes de 25 ans
140;103;2019-03-31;40VEEZJV;LFSS 2018 : Rappeler que les OCAM financent (TSA) intégralement un dispositif de solidarité nationale : le fonds CMU, et que les excédents financent le régime général de l’assurance maladie
141;106;2019-03-18;19V0KWVU;Réglementation des soldes et des promotions       
142;106;2019-03-18;2EHLL9HJ;Revitalisation des centres-villes et des centres-bourgs
143;106;2019-03-18;JA3YUYV9;Promotion du Commerce Coopératif et Associé        
144;106;2019-03-18;DC34W4VQ;Revitalisation des centres-villes et des centres-bourgs      
145;106;2019-03-18;4UHQ1BVR;Revitalisation des centres-villes et des centres-bourgs      
146;106;2019-03-18;IYVNNSWV;Proposer des mesures pour les commerces impactés par le mouvement des gilets jaunes
147;106;2019-03-18;2ZV94QT3;Opposition à l'interdiction des achats en commun (directive PCD)
148;106;2019-03-18;DC34KP4V;Promouvoir le Commerce Coopératif et Associé comme acteur majeur des territoires 
149;106;2019-03-18;4UHQ9KBH;Promouvoir le Commerce Coopératif et Associé comme acteur majeur des territoires 
150;106;2019-03-18;SBHOJJ4V;Simplifier le cadre des relations commerciales au regard de l'évolution du code de commerce
151;106;2019-03-18;PO38MZF3;Créer un crédit d’impôt pour accompagner les magasins physiques vers leur transformation omnicanale
152;106;2019-03-18;QEVJXWGH;Proposer des mesures pour les commerces impactés par le mouvement des gilets jaunes
153;106;2019-03-18;40VEN60V;Proposer des mesures pour les commerces impactés par le mouvement des gilets jaunes
154;106;2019-03-18;C5HAK5KV;Opposition à l'interdiction des achats en commun (directive PCD)
155;106;2019-03-18;2PVXR66V;Opposition à l'interdiction des achats en commun (directive PCD)
156;106;2019-03-18;KW3UKTBV;Promouvoir le Commerce Coopératif et Associé comme acteur majeur des territoires 
157;106;2019-03-18;KQ360QN3;Promouvoir le modèle de la coopérative de commerçants
158;106;2019-03-18;POHZZKYH;Promouvoir la reprise de l'entreprise par un salarié devenant entrepreneur
159;106;2019-03-18;JA3YCWYV;Réduire les inégalités entre e-commerce et commerce physique
160;106;2019-03-18;FX3C2L6H;Promouvoir et créer une identité visuelle unique pour le cash-back 
161;106;2019-03-18;4UHQ9CBH;Opposition à la renégociation des contrats réseaux tous les six ans
162;106;2019-03-18;19V0YQWH;Billet d'humeur pour une simplification des lois et de la réglementation
163;106;2019-03-18;IO3WU6BH;Promouvoir la reprise de l'entreprise par un salarié devenant entrepreneur
164;106;2019-03-18;DC34KQ4V;Alerte sur des mesures anti-revitalisation du centre-ville
165;106;2019-03-18;PO38MWF3;Promouvoir le Commerce Coopératif et Associé comme acteur majeur des territoires 
166;106;2019-03-18;Z0V5UQNH;Créer une exonération des réserves pour renforcer les fonds propres des coopératives de commerçants
167;106;2019-03-18;FY3GISNV;Renforcer le régime du crédit inter-entreprises au niveau de la durée du prêt et des seuils
168;106;2019-03-18;5GVTEQOV;Promouvoir le modèle de la coopérative de commerçants
169;107;2018-04-05;2PVXG53N;Réglementation des délais de paiement, soldes et évolution de la réglementation fiscale
170;107;2018-04-05;IO3WIBHA;Propositions transmissions d'entreprises et investissements dans les PME
171;107;2018-04-05;Z0V5XNHC;Réglementation des délais de paiement TPE et PME principalement
172;107;2018-04-05;FY3G7NVN;Réglementation des délais de paiement TPE et PME principalement
173;107;2018-04-05;KW3UNBVO;Promotion du modèle du Commerce Coopératif et Associé
174;107;2018-04-05;5DHMWTVG;Revitalisation des centres-villes et des centres-bourgs  
175;107;2018-04-05;SQV7TCHY;Réglementation des soldes et opérations promotionnelles
176;107;2018-04-05;PO386FHR;Promotion du modèle du Commerce Coopératif et Associé
177;110;2018-04-30;SQV7U45V;Veille, réflexions stratégiques, promotion et défense des intérêts des entrepises
178;116;2019-03-15;FX3C2FWH;Promotion et présentation du projet Montagne d'Or auprès de certains décideurs publics
179;117;2019-03-15;X2VRPWX3;Promotion et présentation du projet Montagne d'Or auprès des décideurs publics
180;119;2019-03-28;2Y3K2NGV;Sensibilisation aux principes fondamentaux de la franchise et à son modèle économique 
181;119;2019-03-28;KUVP9GF3;Prise de contact au sujet d'un amendement déposé dans le cadre du vote du projet de loi EGALIM relatif à la limitation de la durée des contrats mentionnés à l'article L. 341-1 du Code de commerce.
182;119;2019-03-28;PO38CUEV;Sensibilisation aux principes fondamentaux de la franchise et à son modèle économique 
183;119;2019-03-28;40VEURS3;Sensibilisation aux principes fondamentaux de la franchise et à son modèle économique 
184;119;2019-03-28;S0V2KTW3;Sensibilisation aux principes fondamentaux de la franchise et à son modèle économique 
185;119;2019-03-28;C5HAUOU3;Audition dans le cadre de l'évaluation de la loi MACRON (articles L. 341-1 et L. 341-2 du Code de commerce)
186;119;2019-03-28;FY3GUPCV;Sensibilisation aux principes fondamentaux de la franchise et à son modèle économique 
187;119;2019-03-28;SQV74YOV;Sensibilisation aux principes fondamentaux de la franchise et à son modèle économique 
188;119;2019-03-28;CLV1KZXH;Sensibilisation aux principes fondamentaux de la franchise et à son modèle économique 
189;119;2019-03-28;2ZV9E14V;Visite du salon de la franchise afin de sensibiliser des élus à ce modèle économique
190;119;2019-03-28;IYVNJBDH;Demande de retrait de l'amendement déposé dans le cadre du vote du projet de loi PACTE relatif à l'obligation de reclassement des salariés dans les réseaux de franchise
191;119;2019-03-28;5GVTOT83;Présentation des atouts de la franchise pour les centres-villes
192;119;2019-03-28;QEVJUR2H;Demande de retrait de l'amendement déposé dans le cadre du vote du projet de loi PACTE relatif à l'obligation de reclassement des salariés dans les réseaux de franchise
193;119;2019-03-28;KDVSAZRV;Demande de retrait de l'amendement déposé dans le cadre du vote du projet de loi PACTE relatif à l'obligation de reclassement des salariés dans les réseaux de franchise
194;120;2018-04-30;UYVITG8H;Sensibilisation aux principes fondamentaux de la franchise et à son modèle économique
195;120;2018-04-30;2Y3KFG1H;Sensibilisation aux principes fondamentaux de la franchise et à son modèle économique
196;120;2018-04-30;IYVN4T03;Sensibilisation aux principes fondamentaux de la franchise et à son modèle économique
197;121;2019-03-01;KDVSQDU3;Position FNEDT sur la proposition de règlement Européen sur la PAC post 2020
198;121;2019-03-01;19V0QURV;Modification de l'article 75 du Code GénéraI des Impôts (loi agricole EGALIM)
199;121;2019-03-29;UYVIC9MV;rendez-vous avec le conseiller technique du premier ministre
200;121;2019-03-29;IYVN0Z2V;rendez-vous avec le directeur de cabinet du ministre de l'agriculture 
201;121;2019-03-29;IO3W0FU3;demande de rendez-vous au président de l'association des maires de France pour organiser une table ronde sur le salon des maires
202;121;2019-03-29;19V0B74V;communication des conséquences négatives de la PAC post 2020
203;121;2019-03-29;KQ36NBD3;invitation à l'Assemblée générale nationale EDT le 11/12/19 à Paris
204;121;2019-03-29;KUVP0BJ3;demande de rendez-vous à Didier Guillaume, nouveau ministre de l'agriculture 
205;121;2019-03-29;2Y3KDX8V;demande d'exclusion des travaux agricoles du champ de l'article 75 du CGI
206;121;2019-03-29;KUVP06J3;Présentation des propositions des etarf pour l'agriculture et la forêt françaises
207;124;2019-03-19;C5HAKOUV;S'assurer d'une meilleure prévention et prise en compte de la presbyacousie dans le cadre du reste à charge zéro audition
208;126;2019-04-01;PO384JMV;Promouvoir l'intégration de l'égalité femmes-hommes et des droits sexuels dans la politique étrangère française
209;126;2019-04-01;FX3CGWKH;Maintien du leadership progressiste de la France en matière de Santé et Droits Sexuels et Reproductifs sur la scène européenne et internationale
210;126;2019-04-01;K6VB5C6H;Renouvellement des financements français en faveur des projets et programmes sur la Santé et les Droits sexuels et reproductifs
211;126;2019-04-01;5DHMDGFH;Appel à la mobilisation de la France pour la crise au Yémen :protection des populations civiles, accès humanitaire, appui au processus de paix, arrêt des ventes d'armes aux belligérants
212;126;2019-04-01;CLV1GM63;Accès aux soins et aux droits pour les mineurs non accompagnés présents en France : faire reconnaître la qualité d’enfant avant celle de migrant 
213;126;2019-04-01;5GVTK81V;Intégration de l'AME dans le régime général de Sécurité sociale 
214;126;2019-04-08;CLV1G0O3;Apporter des amendements au projet de loi Asile et Immigration
215;126;2019-04-08;5DHMD22H;Accès aux soins et aux droits pour les mineurs non accompagnés présents en France : faire reconnaître la qualité d’enfant avant celle de migrant 
216;127;2018-08-31;2EHLBJD3;Maintien du rôle de leadership progressiste de la France en matière de DSSR sur la scène européenne et internationale
217;127;2018-08-31;K6VBDZFH;Appel à la mobilisation de la France pour la crise syrienne : protection des populations civiles, respect du DH, protection des structures et personnels de santé, accès sans entrave pour l'aide humani
218;127;2018-08-31;JA3YOYEV;Renouvellement des financements français en faveur des projets et programmes sur les droits et la santé sexuels et reproductifs
219;127;2018-09-03;DC34DR1H;Appel à la mobilisation de la France pour la crise au Yémen : protection des populations civiles, accès sans entrave pour l'aide humanitaire, financements humanitaires, respect du DIH 
220;127;2018-09-03;IO3WREDH;Intégration de l'AME dans le régime générale de Sécurité Sociale (fusion AME - PUMa) 
221;127;2018-09-03;Z0V5OCZH;Accès aux soins et aux droits pour les mineurs non accompagnés présents en France : faire reconnaître la qualité d’enfant avant celle de migrant 
222;127;2018-09-03;PO388203;Initiatives (en coalition) concernant la Circulaire relative à l’examen des situations administratives dans l’hébergement d’urgence
223;127;2018-09-03;KW3UO6R3;Débat autour du projet de loi Asile et Immigration en France
