action_representation_interet_id;responsable_public;departement_ministeriel;responsable_public_ou_dpt_ministeriel_autre
153;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
154;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
154;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
155;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
155;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
156;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
156;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
157;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
157;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
158;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
158;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
159;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
159;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
160;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
160;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
161;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
161;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
162;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
162;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
163;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
163;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
164;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
164;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
165;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
165;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
166;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
166;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
167;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
167;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
168;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
168;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
169;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
169;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
169;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant;irecteur ou secrétaire général;
169;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou leur adjoint;
169;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante ;
169;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante ;;
170;Membre du Gouvernement ou membre de cabinet ministérie;embre du Gouvernement ou membre de cabinet ministériel ;
170;Membre du Gouvernement ou membre de cabinet ministériel ;;
170;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant;irecteur ou secrétaire général;
170;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou leur adjoint;
170;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante ;
170;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante ;;
171;Membre du Gouvernement ou membre de cabinet ministérie;embre du Gouvernement ou membre de cabinet ministériel ;
171;Membre du Gouvernement ou membre de cabinet ministériel ;;
171;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant;irecteur ou secrétaire général;
171;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou leur adjoint;
171;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante ;
171;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante ;;
172;Membre du Gouvernement ou membre de cabinet ministérie;embre du Gouvernement ou membre de cabinet ministériel ;
172;Membre du Gouvernement ou membre de cabinet ministériel ;;
172;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant;irecteur ou secrétaire général;
172;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou leur adjoint;
172;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante ;
172;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante ;;
173;Membre du Gouvernement ou membre de cabinet ministérie;embre du Gouvernement ou membre de cabinet ministériel ;
173;Membre du Gouvernement ou membre de cabinet ministériel ;;
173;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant;irecteur ou secrétaire général;
173;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou leur adjoint;
173;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante ;
173;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante ;;
174;Membre du Gouvernement ou membre de cabinet ministérie;embre du Gouvernement ou membre de cabinet ministériel ;
174;Membre du Gouvernement ou membre de cabinet ministériel ;;
174;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant;irecteur ou secrétaire général;
174;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou leur adjoint;
174;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante ;
174;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante ;;
175;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
175;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
175;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant;irecteur ou secrétaire général;
175;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou leur adjoint;
175;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante ;
175;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante ;;
176;Membre du Gouvernement ou membre de cabinet ministérie;embre du Gouvernement ou membre de cabinet ministériel ;
176;Membre du Gouvernement ou membre de cabinet ministériel ;;
176;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant;irecteur ou secrétaire général;
176;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou leur adjoint;
176;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendant; ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante ;
176;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante ;;
177;Membre du Gouvernement ou membre de cabinet ministériel;Intérieur;
