action_representation_interet_id;responsable_public;departement_ministeriel;responsable_public_ou_dpt_ministeriel_autre
72;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Défenseur des droits;
72;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Défenseur des droits;;
73;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
73;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
73;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances;;
74;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
74;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
74;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Economie et finances;;
75;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;Secrétariat d'Etat en charge du numérique
75;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Secrétariat d'Etat en charge du numérique
75;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances, Autres : à préciser;;Secrétariat d'Etat en charge du numérique
76;Membre du Gouvernement ou membre de cabinet ministériel;Logement;Ministère de la Cohésion des Territoires et du Logement
76;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Ministère de la Cohésion des Territoires et du Logement
76;Membre du Gouvernement ou membre de cabinet ministériel - Logement, Autres : à préciser;;Ministère de la Cohésion des Territoires et du Logement
77;Membre du Gouvernement ou membre de cabinet ministériel;Travail;
77;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
77;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
77;Membre du Gouvernement ou membre de cabinet ministériel - Travail, emploi, formation professionnelle et dialogue social;;
79;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
79;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre;;
80;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
80;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
82;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
82;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
88;Membre du Gouvernement ou membre de cabinet ministériel;Intérieur;
88;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
88;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
88;Membre du Gouvernement ou membre de cabinet ministériel - Intérieur, Environnement, énergie et mer;;
89;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
89;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
89;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
90;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
90;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
90;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
90;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances, Environnement, énergie et mer;;
91;Membre du Gouvernement ou membre de cabinet ministériel;Environnement;
91;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
91;Membre du Gouvernement ou membre de cabinet ministériel - Environnement, énergie et mer;;
92;Membre du Gouvernement ou membre de cabinet ministériel;Travail;
